Rank,Zip Code,Population
1,99301,"84,124"
2,98052,"75,765"
3,98012,"75,045"
4,98682,"66,229"
5,98208,"60,087"
6,99208,"57,606"
7,98391,"55,662"
8,98115,"53,729"
9,98034,"52,841"
10,98270,"52,756"
11,98103,"52,210"
12,98387,"52,017"
13,99336,"51,839"
14,98023,"51,811"
15,98258,"51,374"
16,98632,"50,944"
17,98092,"50,845"
18,98003,"50,501"
19,98133,"50,153"
20,98225,"50,046"
21,98661,"49,822"
22,98105,"49,448"
23,98118,"48,937"
24,98042,"48,639"
25,98501,"46,170"
26,98902,"45,913"
27,98837,"45,729"
28,98226,"45,373"
29,98223,"45,253"
30,98801,"44,861"
31,99205,"43,901"
32,98125,"43,386"
33,98374,"42,974"
34,99362,"42,706"
35,98204,"42,496"
36,98058,"42,366"
37,99206,"42,139"
38,98503,"42,023"
39,98087,"41,958"
40,98122,"41,541"
41,98031,"41,464"
42,98036,"41,132"
43,98059,"41,076"
44,98277,"40,112"
45,98033,"39,726"
46,98006,"39,595"
47,98030,"39,526"
48,98026,"39,340"
49,98032,"38,985"
50,98908,"38,936"
51,98198,"38,919"
52,98004,"38,632"
53,98290,"38,516"
54,98038,"37,624"
55,98584,"37,360"
56,98604,"37,041"
57,98056,"36,950"
58,98366,"36,620"
59,98662,"36,573"
60,98117,"36,365"
61,98203,"36,164"
62,98513,"36,117"
63,98155,"36,081"
64,98502,"35,954"
65,98002,"35,915"
66,98404,"35,357"
67,98001,"35,297"
68,98444,"35,083"
69,99163,"34,815"
70,99352,"34,772"
71,98607,"34,674"
72,98168,"34,614"
73,98684,"34,394"
74,98021,"34,359"
75,98229,"34,182"
76,99223,"34,013"
77,98499,"33,589"
78,98370,"33,071"
79,99207,"32,732"
80,98926,"32,559"
81,99337,"32,393"
82,98445,"32,304"
83,98338,"31,996"
84,98375,"31,973"
85,98683,"31,969"
86,98901,"31,873"
87,98312,"31,762"
88,98144,"31,648"
89,98272,"31,517"
90 TIE,98802,"31,480"
90 TIE,98029,"31,480"
92,98273,"30,924"
93,98367,"30,710"
94,98201,"30,669"
95,98074,"30,370"
96,98382,"30,366"
97,98512,"30,251"
98,98685,"30,199"
99,98466,"29,989"
100,98109,"29,376"
101,98373,"29,283"
102,98271,"29,120"
103,98498,"29,062"
104,98037,"28,938"
105,98007,"28,576"
106,98409,"28,403"
107,98335,"28,128"
108,98146,"27,879"
109,98027,"27,808"
110,99216,"27,597"
111,98188,"27,524"
112,98106,"27,489"
113,98011,"27,396"
114,98116,"27,190"
115,98665,"27,175"
116,98311,"27,170"
117,98284,"27,159"
118,98372,"27,127"
119,98107,"27,116"
120,98296,"27,032"
121,98626,"26,579"
122,98531,"26,501"
123,98248,"26,404"
124,98516,"26,336"
125,98178,"26,282"
126,98597,"26,222"
127,98532,"26,100"
128,98119,"26,094"
129,98008,"26,091"
130,98075,"25,762"
131,98040,"25,506"
132,99354,"25,433"
133,98102,"25,396"
134,98944,"25,194"
135,98520,"25,064"
136,98072,"24,931"
137,98055,"24,668"
138,98110,"24,557"
139,98362,"24,462"
140,98112,"24,412"
141,98292,"24,141"
142,98405,"24,053"
143,98671,"23,782"
144,98108,"23,759"
145,99224,"23,705"
146,98028,"23,556"
147,98664,"23,141"
148,98642,"22,934"
149,98199,"22,890"
150,98053,"22,857"
151,98371,"22,741"
152,98406,"22,708"
153,98221,"22,707"
154,98166,"22,599"
155,98383,"22,541"
156,98126,"22,030"
157,98408,"22,016"
158,98022,"22,007"
159,98264,"22,005"
160,98422,"22,002"
161,99004,"21,836"
162,98310,"21,635"
163,98005,"21,603"
164,99203,"21,500"
165,98275,"21,409"
166,98043,"21,265"
167,98121,"21,010"
168,98407,"20,993"
169,98177,"20,561"
170,98686,"20,547"
171,99202,"20,526"
172,99403,"20,492"
173,99212,"20,395"
174,98433,"19,771"
175,98332,"19,722"
176,99217,"19,226"
177,99344,"19,198"
178,98020,"18,594"
179,98230,"18,413"
180,98506,"18,232"
181,98274,"18,052"
182,98942,"17,949"
183,99016,"17,913"
184,99353,"17,685"
185,98903,"17,577"
186,99338,"17,266"
187,98136,"17,245"
188,98282,"17,235"
189,98321,"16,749"
190,98368,"16,702"
191,98233,"16,615"
192,98065,"15,779"
193,99037,"15,647"
194,98045,"15,611"
195,98674,"15,426"
196,98467,"15,382"
197,98663,"15,263"
198,99218,"15,233"
199,98930,"14,952"
200,98360,"14,591"
201,98101,"14,528"
202,98104,"14,469"
203,98363,"14,245"
204,99201,"14,147"
205,99350,"14,101"
206,98077,"13,862"
207,99006,"13,649"
208,98579,"13,440"
209,99114,"13,134"
210,98528,"13,082"
211,98446,"13,068"
212,98951,"13,061"
213,98948,"12,972"
214,98660,"12,917"
215,98848,"12,782"
216,98823,"12,514"
217,98057,"12,351"
218,99019,"12,261"
219,98424,"12,019"
220,98550,"11,691"
221,98390,"11,413"
222,98580,"11,358"
223,98019,"11,290"
224,98329,"11,175"
225,99005,"11,159"
226,98148,"11,068"
227,98070,"10,886"
228,98328,"10,505"
229,98541,"10,343"
230,98252,"10,246"
231,99021,"10,139"
232,99324,"10,045"
233,98327,"9,974"
234,98418,"9,813"
235,99320,"9,756"
236,98606,"9,551"
237,98611,"9,478"
238,98346,"9,371"
239,98841,"9,135"
240,99156,"8,901"
241,98629,"8,872"
242,99022,"8,740"
243,98337,"8,582"
244,98250,"8,568"
245,99026,"8,521"
246,98403,"8,441"
247,99001,"8,400"
248,98354,"8,185"
249,98247,"8,068"
250 TIE,99349,"7,856"
250 TIE,98596,"7,856"
252,98014,"7,736"
253,98620,"7,711"
254,98589,"7,699"
255,98563,"7,636"
256,98936,"7,589"
257,98826,"7,505"
258,98815,"7,451"
259,98239,"7,409"
260,99204,"7,375"
261,98922,"7,162"
262,98577,"7,121"
263,98465,"7,092"
264,98675,"7,083"
265,98672,"7,062"
266,98047,"7,024"
267,98388,"6,975"
268,98294,"6,936"
269,98569,"6,826"
270,98402,"6,805"
271,98953,"6,684"
272,98315,"6,407"
273,98625,"6,397"
274,98816,"6,219"
275,98236,"6,184"
276,99326,"6,116"
277,98439,"6,095"
278,98260,"5,979"
279,98010,"5,963"
280,98331,"5,951"
281,99025,"5,910"
282,99141,"5,902"
283,98855,"5,870"
284,99027,"5,832"
285,98380,"5,753"
286,98443,"5,688"
287,98024,"5,503"
288,98812,"5,403"
289,98576,"5,277"
290,98349,"5,272"
291,98851,"5,212"
292,98932,"5,109"
293,98359,"4,991"
294,98840,"4,895"
295,98365,"4,779"
296,99109,"4,743"
297,98844,"4,736"
298,98251,"4,706"
299,98640,"4,694"
300,99009,"4,677"
301,98570,"4,674"
302,98257,"4,513"
303,99323,"4,494"
304,98937,"4,483"
305,98237,"4,474"
306,98266,"4,373"
307,98935,"4,347"
308,98524,"4,326"
309,98051,"4,272"
310,99122,"4,269"
311,98249,"4,229"
312,99003,"4,147"
313,98245,"4,122"
314,99111,"4,057"
315,99357,"4,047"
316,98232,"4,030"
317,98831,"3,691"
318,98557,"3,650"
319,99328,"3,616"
320,98591,"3,582"
321,98333,"3,534"
322,98631,"3,458"
323,98857,"3,431"
324,99011,"3,343"
325,98240,"3,328"
326,98339,"3,304"
327,98648,"3,283"
328,98244,"3,244"
329,98601,"3,237"
330,98392,"3,231"
331,98612,"3,209"
332,98947,"3,172"
333,98261,"3,034"
334,98340,"3,017"
335,99166,"2,934"
336,98610,"2,932"
337,98039,"2,928"
338,98295,"2,927"
339,98546,"2,920"
340,98847,"2,780"
341,98595,"2,698"
342,98537,"2,688"
343,98564,"2,684"
344,99343,"2,660"
345,99169,"2,643"
346,98813,"2,642"
347,98856,"2,595"
348,98568,"2,549"
349,98862,"2,546"
350,98278,"2,515"
351,98938,"2,401"
352,99347,"2,367"
353,98356,"2,350"
354,99148,"2,318"
355,98253,"2,275"
356,98195,"2,259"
357,98548,"2,197"
358,99181,"2,143"
359,98645,"2,137"
360,98843,"2,066"
361,98377,"2,057"
362,98376,"2,044"
363,98828,"2,002"
364,98624,"1,994"
365,98952,"1,956"
366,98850,"1,924"
367,98635,"1,877"
368,98586,"1,863"
369,98241,"1,854"
370,98822,"1,831"
371,98314,"1,773"
372,98858,"1,747"
373,98325,"1,737"
374,99116,"1,706"
375,99361,"1,680"
376,99348,"1,657"
377,99110,"1,656"
378,99173,"1,638"
379,99101,"1,612"
380,98303,"1,564"
381,98638,"1,560"
382,99036,"1,549"
383,98357,"1,547"
384,98592,"1,543"
385,99119,"1,491"
386,98588,"1,490"
387,99360,"1,460"
388,98320,"1,456"
389,99402,"1,449"
390,99133,"1,440"
391,99013,"1,436"
392,98276,"1,397"
393,98207,"1,376"
394,98351,"1,375"
395,99161,"1,373"
396,99159,"1,341"
397,98342,"1,331"
398,98547,"1,317"
399,99031,"1,313"
400,98603,"1,307"
401,98447,"1,303"
402,98846,"1,277"
403,99115,"1,261"
404,99251,"1,258"
405,98593,"1,247"
406 TIE,98605,"1,245"
406 TIE,99155,"1,245"
408,99029,"1,240"
409,99185,"1,235"
410,98281,"1,210"
411,98933,"1,188"
412,98394,"1,186"
413,99330,"1,183"
414,98639,"1,177"
415,98849,"1,164"
416,99138,"1,152"
417,98650,"1,133"
418,98821,"1,131"
419,98304,"1,114"
420,98617,"1,100"
421,99012,"1,081"
422,98416,"1,057"
423,98934,"1,046"
424,98651,"1,035"
425,99123,"1,031"
426,99170,980
427,98421,950
428,99171,941
429,98326,931
430,98358,924
431,98262,887
432,98572,884
433,99023,883
434,99033,882
435,99032,826
436,99118,811
437,98587,810
438,98134,808
439,99139,806
440,98836,796
441 TIE,98355,792
441 TIE,98943,792
443 TIE,99180,791
443 TIE,99130,791
445,99040,778
446,99126,765
447,98923,760
448,99321,736
449,99167,732
450,98649,726
451,98941,703
452,98336,693
453,98814,690
454,98279,689
455,98542,669
456 TIE,99125,647
456 TIE,98829,647
458,98323,644
459,99143,640
460,99341,639
461 TIE,99157,633
461 TIE,99030,633
463,98644,628
464,99129,625
465,98396,620
466,98585,610
467,98619,609
468,98535,598
469,98556,592
470,99102,580
471,99158,579
472,98220,578
473,98438,576
474,99134,572
475,98613,560
476,99113,559
477 TIE,98068,551
477 TIE,98530,551
479,98925,547
480,99103,543
481,98590,539
482,98533,524
483,99117,516
484,99179,500
485,98283,499
486,99140,494
487,98673,489
488,99258,486
489,98830,482
490,98361,469
491,98385,462
492,98940,445
493,99153,424
494,98538,417
495,98643,414
496,99137,413
497,99135,406
498,98581,402
499,99008,401
500,98280,394
501,99401,386
502,99322,380
503,98235,368
504,98614,364
505,98555,350
506,98827,339
507,99346,337
508,98350,336
509,98256,328
510,99371,314
511,98946,310
512,98628,306
513,98565,303
514,98566,302
515,98305,298
516,99128,291
517,98834,278
518,99018,277
519,99121,272
520 TIE,98845,270
520 TIE,98345,270
520 TIE,98243,270
523,98255,262
524,99124,258
525,98860,257
526,99150,256
527,98288,254
528,99356,252
529 TIE,98267,250
529 TIE,98164,250
531,98552,240
532,98527,237
533,98647,236
534,98381,235
535,99034,231
536,98621,228
537,99176,207
538,98526,206
539,98224,203
540,99149,197
541,98263,196
542,98819,190
543,98286,188
544,99039,181
545,98582,177
546,99329,175
547,99017,167
548,99335,164
549 TIE,98824,161
549 TIE,99147,161
551,99359,159
552,99151,158
553,98832,155
554,98833,149
555,99152,148
556,98505,145
557,99345,140
558,98539,136
559,99131,132
560,98817,131
561,98602,126
562 TIE,98811,120
562 TIE,98583,120
564 TIE,98575,117
564 TIE,98616,117
566,98853,116
567,98641,114
568,98222,108
569,98939,105
570,98560,98
571,99160,88
572,99333,81
573,98859,78
574,98571,77
575,98364,67
576,98297,59
577,98544,55
578,98558,51
579,98670,48
580,99363,46
581,98238,45
582,98562,43
583 TIE,99146,42
583 TIE,98623,42
585,99154,41
586,99174,33
587,99014,31
588,98950,29
589,99105,27
590,98330,22
591,99136,21
592,98852,20
593,98353,17
594,99144,15
